series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,15,32768,2048,65536,6553,16,64,32,7.848505357269057,8,-5.3999999999999995
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,16,65536,4096,131072,13107,16,64,64,6.914291198898478,8,-6.1
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,17,131072,8192,262144,26214,16,64,128,5.943306351081228,8,-6.8
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,18,262144,16384,524288,52428,16,64,256,4.944390772130524,8,-7.5
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,19,524288,32768,1048576,104857,16,64,512,3.916583094416905,8,-8.2
"RM(2,5) [32,16,8] exact",rm,fixed,32,16,20,1048576,65536,2097152,209715,16,64,1024,2.846364061588874,8,-8.9
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,12,4096,64,8192,819,16,64,1,17.75589853945147,16,-3.5999999999999996
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,13,8192,128,16384,1638,16,64,2,17.13798277937497,16,-4.199999999999999
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,14,16384,256,32768,3276,16,64,4,16.35626664413517,16,-4.8999999999999995
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,15,32768,512,65536,6553,16,64,8,15.460719212674707,16,-5.6
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,16,65536,1024,131072,13107,16,64,16,14.509614421153762,16,-6.3
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,17,131072,2048,262144,26214,16,64,32,13.527753852719961,16,-7.0
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,18,262144,4096,524288,52428,16,64,64,12.521750465560858,16,-7.7
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,19,524288,8192,1048576,104857,16,64,128,11.489004948500444,16,-8.4
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,20,1048576,16384,2097152,209715,16,64,256,10.41483512781367,16,-9.1
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,14,16384,64,32768,3276,16,64,1,44.684720012939536,32,-4.5
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,15,32768,128,65536,6553,16,64,2,43.849515768086555,32,-5.199999999999999
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,16,65536,256,131072,13107,16,64,4,42.93739857860741,32,-5.8
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,17,131072,512,262144,26214,16,64,8,41.99469212312374,32,-6.5
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,18,262144,1024,524288,52428,16,64,16,41.0141875533182,32,-7.199999999999999
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,19,524288,2048,1048576,104857,16,64,32,39.999686225617644,32,-7.8999999999999995
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,20,1048576,4096,2097152,209715,16,64,64,38.94054218373622,32,-8.6
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,8,256,64,512,51,16,64,1,-5.158178928650052,1,-4.3
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,9,512,128,1024,102,16,64,2,-5.8876769308600405,1,-4.8
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,10,1024,256,2048,204,16,64,4,-6.7284332738589905,1,-5.3999999999999995
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,11,2048,512,4096,409,16,64,8,-7.647258355318571,1,-6.1
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,12,4096,1024,8192,819,16,64,16,-8.604385724079034,1,-6.8
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,13,8192,2048,16384,1638,16,64,32,-9.582002715361632,1,-7.5
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,14,16384,4096,32768,3276,16,64,64,-10.571218125551184,1,-8.1
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,15,32768,8192,65536,6553,16,64,128,-11.567872745487266,1,-8.8
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,16,65536,16384,131072,13107,16,64,256,-12.569705192485321,1,-9.5
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,17,131072,32768,262144,26214,16,64,512,-13.576821698472251,1,-10.2
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,18,262144,65536,524288,52428,16,64,1024,-14.593952182204122,1,-10.9
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,19,524288,131072,1048576,104857,16,64,2048,-15.630390632393338,1,-11.6
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,20,1048576,262144,2097152,209715,16,64,4096,-16.72188882236423,1,-12.0
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,9,512,64,1024,102,16,64,1,-3.400020477498473,2,-3.9000000000000004
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,10,1024,128,2048,204,16,64,2,-4.140233042331954,2,-4.5
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,11,2048,256,4096,409,16,64,4,-5.005742526255888,2,-5.199999999999999
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,12,4096,512,8192,819,16,64,8,-5.93771696519018,2,-5.8
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,13,8192,1024,16384,1638,16,64,16,-6.898429740936467,2,-6.5
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,14,16384,2048,32768,3276,16,64,32,-7.879397909745387,2,-7.199999999999999
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,15,32768,4096,65536,6553,16,64,64,-8.872189534000443,2,-7.8999999999999995
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,16,65536,8192,131072,13107,16,64,128,-9.87198521782936,2,-8.6
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,17,131072,16384,262144,26214,16,64,256,-10.87871003782496,2,-9.3
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,18,262144,32768,524288,52428,16,64,512,-11.896102733652398,2,-10.0
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,19,524288,65536,1048576,104857,16,64,1024,-12.933195861610155,2,-10.7
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,20,1048576,131072,2097152,209715,16,64,2048,-14.012735425688177,2,-11.3
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,10,1024,64,2048,204,16,64,1,0.8911771067122954,4,-3.6999999999999993
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,11,2048,128,4096,409,16,64,2,0.12730969900896852,4,-4.3999999999999995
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,12,4096,256,8192,819,16,64,4,-0.7490368686942,4,-5.0
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,13,8192,512,16384,1638,16,64,8,-1.6779053645247894,4,-5.699999999999999
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,14,16384,1024,32768,3276,16,64,16,-2.6420023853122365,3,-6.8
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,15,32768,2048,65536,6553,16,64,32,-3.626995191314859,3,-7.5
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,16,65536,4096,131072,13107,16,64,64,-4.623126505462395,3,-8.2
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,17,131072,8192,262144,26214,16,64,128,-5.628094630320344,3,-8.9
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,18,262144,16384,524288,52428,16,64,256,-6.644826575598235,3,-9.6
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,19,524288,32768,1048576,104857,16,64,512,-7.681771955795043,3,-10.3
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,20,1048576,65536,2097152,209715,16,64,1024,-8.754834901505763,3,-10.9
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,11,2048,64,4096,409,16,64,1,9.960280951228523,7,-3.799999999999999
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,12,4096,128,8192,819,16,64,2,9.20916430862824,7,-4.5
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,13,8192,256,16384,1638,16,64,4,8.344480601572055,7,-5.199999999999999
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,14,16384,512,32768,3276,16,64,8,7.410910156074102,7,-5.8999999999999995
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,15,32768,1024,65536,6553,16,64,16,6.444459888830358,7,-6.5
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,16,65536,2048,131072,13107,16,64,32,5.458063690327291,7,-7.199999999999999
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,17,131072,4096,262144,26214,16,64,64,4.459749200260797,7,-7.8999999999999995
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,18,262144,8192,524288,52428,16,64,128,3.4474153155725435,7,-8.6
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,19,524288,16384,1048576,104857,16,64,256,2.414109725785009,7,-9.3
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,20,1048576,32768,2097152,209715,16,64,512,1.3431757816439551,7,-10.0
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,12,4096,64,8192,819,16,64,1,28.562360871842564,13,-3.9000000000000004
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,13,8192,128,16384,1638,16,64,2,27.849566884208084,13,-4.6
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,14,16384,256,32768,3276,16,64,4,27.00685098250532,13,-5.199999999999999
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,15,32768,512,65536,6553,16,64,8,26.08238798091762,13,-5.8999999999999995
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,16,65536,1024,131072,13107,16,64,16,25.117106139714394,13,-6.6
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,17,131072,2048,262144,26214,16,64,32,24.129200559611416,13,-7.3
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,18,262144,4096,524288,52428,16,64,64,23.12113572710695,13,-8.0
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,19,524288,8192,1048576,104857,16,64,128,22.089066937668466,13,-8.7
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,20,1048576,16384,2097152,209715,16,64,256,21.01743400244646,13,-9.4
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,13,8192,64,16384,1638,16,64,1,66.2399278557751,26,-3.9000000000000004
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,14,16384,128,32768,3276,16,64,2,65.60215750894648,26,-4.5
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,15,32768,256,65536,6553,16,64,4,64.7771988296765,26,-5.199999999999999
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,16,65536,512,131072,13107,16,64,8,63.8612679709899,26,-5.8999999999999995
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,17,131072,1024,262144,26214,16,64,16,62.89964168827429,26,-6.6
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,18,262144,2048,524288,52428,16,64,32,61.90663764897149,26,-7.3
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,19,524288,4096,1048576,104857,16,64,64,60.88366112138834,26,-8.0
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,20,1048576,8192,2097152,209715,16,64,128,59.817348838763635,26,-8.7
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,14,16384,64,32768,3276,16,64,1,141.94842915591923,52,-3.799999999999999
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,15,32768,128,65536,6553,16,64,2,141.41780600229802,51,-4.6
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,16,65536,256,131072,13107,16,64,4,140.65783262030493,51,-5.199999999999999
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,17,131072,512,262144,26214,16,64,8,139.77559458308758,51,-5.8999999999999995
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,18,262144,1024,524288,52428,16,64,16,138.8229164820199,51,-6.6
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,19,524288,2048,1048576,104857,16,64,32,137.8178251997646,53,-7.3
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,20,1048576,4096,2097152,209715,16,64,64,136.7611125101666,53,-8.0
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,15,32768,64,65536,6553,16,64,1,293.4306649138277,103,-3.9000000000000004
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,16,65536,128,131072,13107,16,64,2,293.15036645777474,103,-4.5
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,17,131072,256,262144,26214,16,64,4,292.52280811710824,102,-5.199999999999999
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,18,262144,512,524288,52428,16,64,8,291.6983484727966,101,-6.0
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,19,524288,1024,1048576,104857,16,64,16,290.75973424313014,107,-6.6
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,20,1048576,2048,2097152,209715,16,64,32,289.7344656226655,107,-7.3
