series,family,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"RM(3,7) [128,64,16] exact",rm,structured,128,64,14,16384,16,3277,0.100006103515625,10.281924668891651,16,-5.100000000000017
"RM(3,7) [128,64,16] exact",rm,structured,128,64,15,32768,17,6554,0.100006103515625,9.306311042276258,16,-5.700000000000015
"RM(3,7) [128,64,16] exact",rm,structured,128,64,16,65536,18,13108,0.100006103515625,8.322982485268351,16,-6.400000000000013
"RM(3,7) [128,64,16] exact",rm,structured,128,64,17,131072,19,26215,0.10000228881835938,7.334346827102115,16,-7.10000000000001
"RM(3,7) [128,64,16] exact",rm,structured,128,64,18,262144,20,52429,0.10000038146972656,6.341360185792743,16,-7.800000000000008
"RM(3,7) [128,64,16] exact",rm,structured,128,64,19,524288,21,104858,0.10000038146972656,5.345402250811771,16,-8.500000000000005
"RM(3,7) [128,64,16] exact",rm,structured,128,64,20,1048576,22,209716,0.10000038146972656,4.347749434595863,16,-9.200000000000003
"RM(4,9) [512,256,32] exact",rm,structured,512,256,8,256,10,52,0.1015625,-0.5744060872241973,252,0.5
"RM(4,9) [512,256,32] exact",rm,structured,512,256,9,512,11,103,0.1005859375,37.209733610791105,32,-1.0
"RM(4,9) [512,256,32] exact",rm,structured,512,256,10,1024,12,205,0.10009765625,38.03086032560263,32,-2.0
"RM(4,9) [512,256,32] exact",rm,structured,512,256,11,2048,13,410,0.10009765625,38.92544524829276,32,-2.5
"RM(4,9) [512,256,32] exact",rm,structured,512,256,12,4096,14,820,0.10009765625,38.085887237009466,32,-3.0
"RM(4,9) [512,256,32] exact",rm,structured,512,256,13,8192,15,1639,0.10003662109375,37.08165472484826,32,-4.0
"RM(4,9) [512,256,32] exact",rm,structured,512,256,14,16384,16,3277,0.100006103515625,36.91068389950989,32,-4.5
"RM(4,9) [512,256,32] exact",rm,structured,512,256,15,32768,17,6554,0.100006103515625,35.97522710727816,32,-5.200000000000017
"RM(4,9) [512,256,32] exact",rm,structured,512,256,16,65536,18,13108,0.100006103515625,35.00509859855364,32,-5.900000000000015
"RM(4,9) [512,256,32] exact",rm,structured,512,256,17,131072,19,26215,0.10000228881835938,34.018750582992,32,-6.600000000000012
"RM(4,9) [512,256,32] exact",rm,structured,512,256,18,262144,20,52429,0.10000038146972656,33.021382562392006,32,-7.30000000000001
"RM(4,9) [512,256,32] exact",rm,structured,512,256,19,524288,21,104858,0.10000038146972656,32.017065602581255,32,-8.000000000000007
"RM(4,9) [512,256,32] exact",rm,structured,512,256,20,1048576,22,209716,0.10000038146972656,31.0087960950569,32,-8.700000000000005
"random full-rank [8,4] reused",random,random,8,4,8,256,10,52,0.1015625,-5.566247259876612,1,-4.0
"random full-rank [8,4] reused",random,random,8,4,9,512,11,103,0.1005859375,-6.537027715134543,1,-5.0
"random full-rank [8,4] reused",random,random,8,4,10,1024,12,205,0.10009765625,-7.4917049608358,1,-5.600000000000016
"random full-rank [8,4] reused",random,random,8,4,11,2048,13,410,0.10009765625,-8.4974388517505,1,-6.300000000000013
"random full-rank [8,4] reused",random,random,8,4,12,4096,14,820,0.10009765625,-9.48839513247401,1,-7.000000000000011
"random full-rank [8,4] reused",random,random,8,4,13,8192,15,1639,0.10003662109375,-10.485984905089143,1,-7.6000000000000085
"random full-rank [8,4] reused",random,random,8,4,14,16384,16,3277,0.100006103515625,-11.48483506301832,1,-8.300000000000006
"random full-rank [8,4] reused",random,random,8,4,15,32768,17,6554,0.100006103515625,-12.484642844232496,1,-9.000000000000004
"random full-rank [8,4] reused",random,random,8,4,16,65536,18,13108,0.100006103515625,-13.484578795530147,1,-9.700000000000001
"random full-rank [8,4] reused",random,random,8,4,17,131072,19,26215,0.10000228881835938,-14.485661462775933,1,-10.5
"random full-rank [8,4] reused",random,random,8,4,18,262144,20,52429,0.10000038146972656,-15.488979881354725,1,-11.0
"random full-rank [8,4] reused",random,random,8,4,19,524288,21,104858,0.10000038146972656,-16.527623828405037,1,-12.0
"random full-rank [8,4] reused",random,random,8,4,20,1048576,22,209716,0.10000038146972656,-17.550167755437467,1,-12.0
"random full-rank [16,8] reused",random,random,16,8,8,256,10,52,0.1015625,-3.4151119536651997,3,-2.5
"random full-rank [16,8] reused",random,random,16,8,9,512,11,103,0.1005859375,-4.2866828424486165,3,-3.5
"random full-rank [16,8] reused",random,random,16,8,10,1024,12,205,0.10009765625,-5.265292080065604,2,-4.5
"random full-rank [16,8] reused",random,random,16,8,11,2048,13,410,0.10009765625,-6.279767376826622,3,-5.0
"random full-rank [16,8] reused",random,random,16,8,12,4096,14,820,0.10009765625,-7.239105992600154,2,-6.0
"random full-rank [16,8] reused",random,random,16,8,13,8192,15,1639,0.10003662109375,-8.227477803150975,2,-6.700000000000012
"random full-rank [16,8] reused",random,random,16,8,14,16384,16,3277,0.100006103515625,-9.224832722177617,2,-7.400000000000009
"random full-rank [16,8] reused",random,random,16,8,15,32768,17,6554,0.100006103515625,-10.224123644007785,2,-8.100000000000007
"random full-rank [16,8] reused",random,random,16,8,16,65536,18,13108,0.100006103515625,-11.223768030979041,2,-8.800000000000004
"random full-rank [16,8] reused",random,random,16,8,17,131072,19,26215,0.10000228881835938,-12.223858341402384,2,-9.500000000000002
"random full-rank [16,8] reused",random,random,16,8,18,262144,20,52429,0.10000038146972656,-13.237066842455345,2,-10.0
"random full-rank [16,8] reused",random,random,16,8,19,524288,21,104858,0.10000038146972656,-14.254096660986788,3,-10.5
"random full-rank [16,8] reused",random,random,16,8,20,1048576,22,209716,0.10000038146972656,-15.256004354942007,2,-11.5
"random full-rank [32,16] reused",random,random,32,16,8,256,10,52,0.1015625,0.8663036610104885,5,-2.0
"random full-rank [32,16] reused",random,random,32,16,9,512,11,103,0.1005859375,0.05329928443185078,5,-3.0
"random full-rank [32,16] reused",random,random,32,16,10,1024,12,205,0.10009765625,-0.8920897897178659,4,-4.0
"random full-rank [32,16] reused",random,random,32,16,11,2048,13,410,0.10009765625,-1.846920178881583,5,-4.0
"random full-rank [32,16] reused",random,random,32,16,12,4096,14,820,0.10009765625,-2.804027989215689,4,-5.200000000000017
"random full-rank [32,16] reused",random,random,32,16,13,8192,15,1639,0.10003662109375,-3.7696085565885786,4,-5.900000000000015
"random full-rank [32,16] reused",random,random,32,16,14,16384,16,3277,0.100006103515625,-4.762066242378556,4,-6.600000000000012
"random full-rank [32,16] reused",random,random,32,16,15,32768,17,6554,0.100006103515625,-5.761516846942582,4,-7.30000000000001
"random full-rank [32,16] reused",random,random,32,16,16,65536,18,13108,0.100006103515625,-6.761658915396486,4,-8.000000000000007
"random full-rank [32,16] reused",random,random,32,16,17,131072,19,26215,0.10000228881835938,-7.761510484878765,4,-8.700000000000005
"random full-rank [32,16] reused",random,random,32,16,18,262144,20,52429,0.10000038146972656,-8.765996091611742,4,-9.400000000000002
"random full-rank [32,16] reused",random,random,32,16,19,524288,21,104858,0.10000038146972656,-9.763322142024073,4,-10.0
"random full-rank [32,16] reused",random,random,32,16,20,1048576,22,209716,0.10000038146972656,-10.826276106246073,4,-11.0
"random full-rank [64,32] reused",random,random,64,32,8,256,10,52,0.1015625,8.905753042161773,8,-1.5
"random full-rank [64,32] reused",random,random,64,32,9,512,11,103,0.1005859375,8.455536336529786,9,-2.0
