constituent,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,inner,configuration,comparison,reference_rm2sub_state_bits,step_bits,state_bits,persistence_exponent,epochs_per_region,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,margin_bits,dominant_weight,dominant_log_surprisal
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m21,same-live-state-reset-rate,15,1,21,21.0,512,,,,35.74982110809779,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s15,rm2sub,15,64,15,21.0,8,24,6,0,37.0073415550221,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m16,same-stored-state-bits,16,1,16,16.0,512,,,,22.61056938336731,22,-5.3
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m22,same-live-state-reset-rate,16,1,22,22.0,512,,,,36.57262081381663,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s16,rm2sub,16,64,16,22.0,8,16,6,0,37.248709788601744,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m18,same-stored-state-bits,18,1,18,18.0,512,,,,30.370917697793892,22,-5.199999999999999
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m24,same-live-state-reset-rate,18,1,24,24.0,512,,,,37.35109648581184,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s18,rm2sub,18,64,18,24.0,8,16,6,0,37.44766649990411,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m19,same-stored-state-bits,19,1,19,19.0,512,,,,32.80482929720337,22,-5.1
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m25,same-live-state-reset-rate,19,1,25,25.0,512,,,,37.50320791756542,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s19,rm2sub,19,64,19,25.0,8,16,6,0,37.48222771569308,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m20,same-stored-state-bits,20,1,20,20.0,512,,,,34.55801828346258,22,-5.1
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RandomStepConv,m26,same-live-state-reset-rate,20,1,26,26.0,512,,,,37.58237858811776,22,-5.0
"extended BCH [128,64,22]",128,64,15,32768,512,65536,6553,RM2Sub,t64_s20,rm2sub,20,64,20,26.0,8,16,8,0,37.49967514341649,22,-5.0
