series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,18,262144,4096,524288,52428,14,64,64,12.260369333051583,16,-7.7
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,19,524288,8192,1048576,104857,15,64,128,11.364640415195751,16,-8.4
"RM(3,7) [128,64,16] exact",rm,fixed,128,64,20,1048576,16384,2097152,209715,16,64,256,10.41483512781367,16,-9.1
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,14,16384,64,32768,3276,10,64,1,40.718463710894056,32,-4.5
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,15,32768,128,65536,6553,11,64,2,41.374553953154646,32,-5.199999999999999
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,16,65536,256,131072,13107,12,64,4,41.46156261012271,32,-5.8999999999999995
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,17,131072,512,262144,26214,13,64,8,41.12710345202667,32,-6.6
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,18,262144,1024,524288,52428,14,64,16,40.55710800205203,32,-7.199999999999999
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,19,524288,2048,1048576,104857,15,64,32,39.80773822955745,32,-7.8999999999999995
"RM(4,9) [512,256,32] exact",rm,fixed,512,256,20,1048576,4096,2097152,209715,16,64,64,38.94054218373622,32,-8.6
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,8,256,64,512,51,7,64,1,-5.2446114930208285,1,-4.3
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,9,512,128,1024,102,7,64,2,-6.018214878503897,1,-4.8
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,10,1024,256,2048,204,7,64,4,-6.904914015489387,1,-5.3999999999999995
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,11,2048,512,4096,409,7,64,8,-7.900694276013107,1,-6.0
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,12,4096,1024,8192,819,8,64,16,-8.81828012460427,1,-6.699999999999999
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,13,8192,2048,16384,1638,9,64,32,-9.768581948120255,1,-7.3999999999999995
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,14,16384,4096,32768,3276,10,64,64,-10.740823485514026,1,-8.0
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,15,32768,8192,65536,6553,11,64,128,-11.724922141994034,1,-8.7
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,16,65536,16384,131072,13107,12,64,256,-12.715068549978218,1,-9.4
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,17,131072,32768,262144,26214,13,64,512,-13.708989732395969,1,-10.1
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,18,262144,65536,524288,52428,14,64,1024,-14.705205265439764,1,-10.8
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,19,524288,131072,1048576,104857,15,64,2048,-15.702858903259598,1,-11.5
"random full-rank [8,4] reused",random,random-ensemble-average,8,4,20,1048576,262144,2097152,209715,16,64,4096,-16.72188882236423,1,-12.0
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,9,512,64,1024,102,7,64,1,-3.6590403344509834,2,-3.9000000000000004
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,10,1024,128,2048,204,7,64,2,-4.494397219056154,2,-4.5
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,11,2048,256,4096,409,7,64,4,-5.459806284090454,2,-5.199999999999999
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,12,4096,512,8192,819,8,64,8,-6.266081446757175,2,-5.8
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,13,8192,1024,16384,1638,9,64,16,-7.14980382805022,2,-6.5
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,14,16384,2048,32768,3276,10,64,32,-8.085780810133585,2,-7.199999999999999
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,15,32768,4096,65536,6553,11,64,64,-9.049366030943295,2,-7.8999999999999995
