series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,64,14,8192,-3.3628010467818066,12,-11.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,14,65536,-16.577400283670936,4,-12.0,1,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,14,16384,-11.463147469006618,8,-11.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,14,4096,-2.822286915890078,16,-11.6,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,64,14,1024,25.469707266586692,32,-11.2,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,64,14,8192,-12.69844929218755,6,-12.0,1,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,64,14,4096,7.702583898837141,13,-11.9,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,64,14,1024,122.61234071733163,53,-10.7,0,16,4,48,nested-bf1e9a894c05f123,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s14.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,16,1024,1.0145732355642376,4,-8.4,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,16,256,4.924357941117111,8,-7.5,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,18,262144,524288,4096,52428,64,16,64,34.392239000111225,22,-7.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
