outer_label,message_exponent,step_bits,target_q1_margin,smallest_tested_passing_state,attained_margin,status
"random full-rank [128,64] reused",18,128,0,14,22.97337869126892,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,128,20,14,22.97337869126892,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,128,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,128,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,256,0,14,22.984456152362753,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,256,20,14,22.984456152362753,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,256,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",18,256,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,64,0,14,20.48567534239645,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,64,20,14,20.48567534239645,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,64,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,64,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,128,0,14,20.775397505651487,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,128,20,14,20.775397505651487,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,128,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,128,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,256,0,14,20.914427109287814,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,256,20,14,20.914427109287814,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,256,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",20,256,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,64,0,14,16.76352587653151,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,64,20,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,64,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,64,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,128,0,14,17.903728065010096,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,128,20,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,128,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,128,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,256,0,14,18.47976921664494,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,256,20,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,256,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",22,256,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,64,0,14,7.826918497885146,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,64,20,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,64,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,64,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,128,0,14,12.452209565142898,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,128,20,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,128,40,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,128,60,,,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,256,0,14,14.762591559004466,Q1 screen only; no full-occupation guarantee
"random full-rank [128,64] reused",24,256,20,,,Q1 screen only; no full-occupation guarantee
