result_id,study,outer_id,inner_id,outer_family,outer_label,outer_model_kind,block_bits,dimension,minimum_distance,step_bits,state_bits,persistence_exponent,persistence_offset,map_tag,message_exponent,message_bits,output_bits,outer_rows,epochs_per_region,bad_weight,distance_target,occupation_min,occupation_max,coverage_kind,result_class,arithmetic,margin_bits,margin_bits_text,failure_upper_text,dominant_weight,source_path,source_sha256,source_locator,notes
5cb5c2e3a34fca3846aa7838,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,6,6,single_occupation,diagnostic,nearest_binary64_diagnostic,109.20153621571536,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-6,Positive recurrence over regular and all-one RM rows.
7df8c82031d2e8ed8fdc42bd,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,7,7,single_occupation,diagnostic,nearest_binary64_diagnostic,111.76994214050748,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-7,Positive recurrence over regular and all-one RM rows.
1f1d083045223a8515df597a,rm2sub_rm49_t256_s12_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t256-s12-primary-tranche-selected-a120-kd4-k481600,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,256,12,20.0,4.0,primary-tranche-selected,16,65536,131072,256,1,13107,0.1,8,8,single_occupation,diagnostic,nearest_binary64_diagnostic,83.92487310730937,,,,small_k_replay/rm2sub_q_ladder_rm49_t256_s12_d100.json,dcdbfe4c4b77d2dc4fa1c05d2c03b1c8800995f82d525f89dede8fb0d85c6adf,occupation-8,Positive recurrence over regular and all-one RM rows.
b0b4599c1cf42d1902be02aa,rm2sub_rm49_t64_s14_full_distance_certificate,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,1,256,full_distance,certified,arb_256_outward,42.57798175627556,42.57798175627556,[1.523176871255521289789405701102375552093461859083080373215117088448001989e-13 +/- 4.29e-86],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,full-distance-union,Database row indexes the certificate; the source receipt remains authoritative.
37b874855a6c29f3a3903e54,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,1,1,single_occupation,certified,arb_256_outward,42.57798175660753,,[1.523176870905044293899355046447020905761471203681411866166582799577996380e-13 +/- 4.08e-86],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-0-q1_certificate,Component role: q1_certificate.
382b9323df8b3f067524c406,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,2,2,single_occupation,certified,arb_256_outward,74.61109427237861,,[3.46595256526595941503887262023594075963731072116257226582172981808697900e-23 +/- 5.54e-95],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-1-q2_certificate,Component role: q2_certificate.
a556f7cabb7d4427f1649136,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,3,4,occupation_union,certified,arb_256_outward,83.10218770587281,,[9.63271686505850033394648749625744009523619272933472930242178891792810050e-26 +/- 3.64e-98],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-2-q3_q4_certificate,Component role: q3_q4_certificate.
159b840b016055140bc5c149,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,5,29,occupation_union,certified,arb_256_outward,81.50299128222802,,[2.918467676948863118072735558770835428413815659343589357590448278211477693e-25 +/- 1.40e-98],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-3-q05_q29_certificate,Component role: q05_q29_certificate.
9f6d778cfd4974c30d1d9d55,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,30,30,single_occupation,certified,arb_256_outward,1228.637966758792,,[1.390330960717271266536928302866126638034013075142665306203306943584348995e-370 +/- 5.26e-443],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-4-q30_certificate,Component role: q30_certificate.
001d7f00abc94f82fbce8069,rm2sub_rm49_t64_s14_full_distance_certificate_components,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,31,256,occupation_union,certified,arb_256_outward,1293.4443584022868,,[4.3097333306622215389407949124589093540853429939683892245090880800463551367e-390 +/- 6.47e-464],,small_k_replay/rm2sub_rm49_t64_s14_full_distance_outward.json,7efa61f29b91aede4773b382e78690743931bdbe720f20083c253470d4605432,component-5-q031_q256_certificate,Component role: q031_q256_certificate.
41370d04d65083175b3703eb,rm2sub_rm49_t64_s14_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,3,3,single_occupation,diagnostic,nearest_binary64_diagnostic,82.41355248355406,,,,small_k_replay/rm2sub_q_ladder_rm49_t64_s14_d100.json,5589a2e2d73115630dbb12f87e93fb7dfae1ece8c0c17e9bf5df05694e99f876,occupation-3,Positive recurrence over regular and all-one RM rows.
0e666559bbd1591605088783,rm2sub_rm49_t64_s14_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,4,4,single_occupation,diagnostic,nearest_binary64_diagnostic,110.16800888239896,,,,small_k_replay/rm2sub_q_ladder_rm49_t64_s14_d100.json,5589a2e2d73115630dbb12f87e93fb7dfae1ece8c0c17e9bf5df05694e99f876,occupation-4,Positive recurrence over regular and all-one RM rows.
c795b4ec69564f55ac976cea,rm2sub_rm49_t64_s14_q03_q08,rm-b512-k256-fixed-exact-spectrum,rm2sub-t64-s14-rm49-certificate-map-a24-kd6-k40,rm,"RM(4,9) [512,256,32] exact",fixed_exact_spectrum,512,256,32,64,14,20.0,4.0,rm49-certificate-map,16,65536,131072,256,4,13107,0.1,5,5,single_occupation,diagnostic,nearest_binary64_diagnostic,135.42305019908252,,,,small_k_replay/rm2sub_q_ladder_rm49_t64_s14_d100.json,5589a2e2d73115630dbb12f87e93fb7dfae1ece8c0c17e9bf5df05694e99f876,occupation-5,Positive recurrence over regular and all-one RM rows.
