k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097232,1048656,80,0.106,222306,80,60,288,gf,356.180737,0.40634819091,-637.853370,-281.672633,-40.991450,0,-637.853370,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,289,gf,357.479948,0.40634819091,-638.518989,-281.039041,-40.991450,0,-638.518989,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,290,gf,358.779160,0.40634819091,-640.016376,-281.237217,-40.991450,0,-640.016376,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,291,gf,360.078371,0.40634819091,-641.371310,-281.292938,-40.991450,0,-641.371310,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,292,gf,361.377583,0.40634819091,-643.542964,-282.165380,-40.991450,0,-643.542964,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,293,gf,362.676795,0.40634819091,-647.724469,-285.047675,-40.991450,0,-647.724469,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,294,gf,363.976006,0.40634819091,-651.167134,-287.191128,-40.991450,0,-651.167134,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,295,gf,365.275218,0.40634819091,-651.800602,-286.525384,-40.991450,0,-651.800602,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,296,gf,366.574430,0.40634819091,-653.283220,-286.708790,-40.991450,0,-653.283220,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,297,gf,367.873641,0.40634819091,-654.615712,-286.742071,-40.991450,0,-654.615712,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,298,gf,369.172853,0.40634819091,-656.784606,-287.611753,-40.991450,0,-656.784606,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,299,gf,370.472064,0.40634819091,-660.942889,-290.470825,-40.991450,0,-660.942889,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,300,gf,371.771276,0.40634819091,-664.481530,-292.710254,-40.991450,0,-664.481530,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,301,gf,373.070488,0.40634819091,-665.082842,-292.012354,-40.991450,0,-665.082842,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,302,gf,374.369699,0.40634819091,-666.550688,-292.180988,-40.991450,0,-666.550688,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,303,gf,375.668911,0.40634819091,-667.860725,-292.191814,-40.991450,0,-667.860725,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,304,gf,376.968123,0.40634819091,-670.026853,-293.058730,-40.991450,0,-670.026853,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,305,gf,378.267334,0.40634819091,-674.161259,-295.893925,-40.991450,0,-674.161259,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,306,gf,379.566546,0.40634819091,-679.407339,-299.840793,-40.991450,0,-679.407339,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,307,gf,380.865757,0.40634819091,-680.015767,-299.150010,-40.991450,0,-680.015767,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,308,gf,382.164969,0.40634819091,-680.579560,-298.414591,-40.991450,0,-680.579560,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,309,gf,383.464181,0.40634819091,-682.030167,-298.565987,-40.991450,0,-682.030167,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,310,gf,384.763392,0.40634819091,-683.313992,-298.550600,-40.991450,0,-683.313992,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,311,gf,386.062604,0.40634819091,-685.476883,-299.414279,-40.991450,0,-685.476883,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,312,gf,387.361816,0.40634819091,-689.582700,-302.220884,-40.991450,0,-689.582700,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,313,gf,388.661027,0.40634819091,-694.937323,-306.276295,-40.991450,0,-694.937323,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,314,gf,389.960239,0.40634819091,-695.550814,-305.590575,-40.991450,0,-695.550814,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,315,gf,391.259450,0.40634819091,-696.077084,-304.817634,-40.991450,0,-696.077085,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,316,gf,392.558662,0.40634819091,-697.510449,-304.951787,-40.991450,0,-697.510449,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,317,gf,393.857874,0.40634819091,-698.768047,-304.910173,-40.991450,0,-698.768047,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,318,gf,395.157085,0.40634819091,-700.927692,-305.770607,-40.991450,0,-700.927692,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,319,gf,396.456297,0.40634819091,-705.004219,-308.547923,-40.991450,0,-705.004220,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,320,gf,397.755509,0.40634819091,-710.462654,-312.707145,-40.991450,0,-710.462654,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,321,gf,399.054720,0.40634819091,-711.086647,-312.031926,-40.991450,0,-711.086647,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,322,gf,400.353932,0.40634819091,-711.575390,-311.221458,-40.991450,0,-711.575390,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,323,gf,401.653143,0.40634819091,-712.991509,-311.338365,-40.991450,0,-712.991509,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,324,gf,402.952355,0.40634819091,-714.222865,-311.270510,-40.991450,0,-714.222865,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,325,gf,404.251567,0.40634819091,-716.379257,-312.127690,-40.991450,0,-716.379257,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,326,gf,405.550778,0.40634819091,-720.425882,-314.875104,-40.991450,0,-720.425883,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,327,gf,406.849990,0.40634819091,-725.982969,-319.132979,-40.991450,0,-725.982970,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,328,gf,408.149202,0.40634819091,-726.623241,-318.474039,-40.991450,0,-726.623241,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,329,gf,409.448413,0.40634819091,-727.074454,-317.626040,-40.991450,0,-727.074454,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,330,gf,410.747625,0.40634819091,-728.473323,-317.725698,-40.991450,0,-728.473323,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,331,gf,412.046836,0.40634819091,-729.678426,-317.631589,-40.991450,0,-729.678426,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,332,gf,413.346048,0.40634819091,-731.831557,-318.485509,-40.991450,0,-731.831557,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,333,gf,414.645260,0.40634819091,-735.847743,-321.202483,-40.991450,0,-735.847743,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,334,gf,415.944471,0.40634819091,-741.497934,-325.553463,-40.991450,0,-741.497935,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,335,gf,417.243683,0.40634819091,-742.160574,-324.916891,-40.991450,0,-742.160574,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,336,gf,418.542895,0.40634819091,-742.574252,-324.031358,-40.991450,0,-742.574253,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,337,gf,419.842106,0.40634819091,-743.955868,-324.113762,-40.991450,0,-743.955868,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,338,gf,421.141318,0.40634819091,-745.134708,-323.993390,-40.991450,0,-745.134708,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,339,gf,422.440529,0.40634819091,-747.284572,-324.844043,-40.991450,0,-747.284572,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,340,gf,423.739741,0.40634819091,-751.269848,-327.530107,-40.991450,0,-751.269848,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,341,gf,425.038953,0.40634819091,-757.007251,-331.968299,-40.991450,0,-757.007254,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,342,gf,426.338164,0.40634819091,-757.698624,-331.360460,-40.991450,0,-757.698625,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,343,gf,427.637376,0.40634819091,-758.074765,-330.437389,-40.991450,0,-758.074765,blocked
