k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,60,78.502088,0.364110441035,-148.431022,-69.928933,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,61,79.959640,0.364110441035,-150.904576,-70.944936,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,62,81.417192,0.364110441035,-153.378090,-71.960898,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,63,82.874744,0.364110441035,-155.851558,-72.976814,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,64,84.332296,0.364110441035,-158.324974,-73.992678,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,65,85.789848,0.364110441035,-160.798334,-75.008486,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,66,87.247400,0.364110441035,-163.271629,-76.024229,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,67,88.704952,0.364110441035,-165.744852,-77.039900,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,68,90.162504,0.364110441035,-168.217994,-78.055490,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,69,91.620056,0.364110441035,-170.691047,-79.070991,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,70,93.077608,0.364110441035,-173.163997,-80.086389,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,71,94.535160,0.364110441035,-175.636836,-81.101676,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,72,95.992712,0.364110441035,-178.109546,-82.116834,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,73,97.450264,0.364110441035,-180.582116,-83.131852,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,74,98.907816,0.364110441035,-183.054527,-84.146711,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,75,100.365368,0.364110441035,-185.526762,-85.161394,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,76,101.822920,0.364110441035,-187.998798,-86.175878,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,77,103.280472,0.364110441035,-190.470615,-87.190143,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,78,104.738024,0.364110441035,-192.942184,-88.204160,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,79,106.195576,0.364110441035,-195.413480,-89.217904,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,80,107.653128,0.364110441035,-197.884469,-90.231341,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,81,109.110680,0.364110441035,-200.355118,-91.244439,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,82,110.568232,0.364110441035,-202.825386,-92.257155,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,83,112.025784,0.364110441035,-205.295234,-93.269450,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,84,113.483336,0.364110441035,-207.764610,-94.281274,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,85,114.940888,0.364110441035,-210.233467,-95.292579,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,86,116.398440,0.364110441035,-212.701742,-96.303303,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,87,117.855992,0.364110441035,-215.169379,-97.313387,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,88,119.313544,0.364110441035,-217.636302,-98.322758,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,89,120.771096,0.364110441035,-220.102441,-99.331345,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,90,122.228648,0.364110441035,-222.567709,-100.339061,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,91,123.686200,0.364110441035,-225.032021,-101.345821,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,92,125.143752,0.364110441035,-227.495274,-102.351522,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,93,126.601304,0.364110441035,-229.957368,-103.356064,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,94,128.058856,0.364110441035,-232.418183,-104.359327,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,95,129.516408,0.364110441035,-234.877603,-105.361195,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,96,130.973960,0.364110441035,-237.335490,-106.361531,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,97,132.431511,0.364110441035,-239.791712,-107.360201,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,98,133.889063,0.364110441035,-242.246115,-108.357051,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,99,135.346615,0.364110441035,-244.698549,-109.351934,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,100,136.804167,0.364110441035,-247.148846,-110.344678,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,101,138.261719,0.364110441035,-249.596842,-111.335123,-40.520728
