outer_weight,aggregate_log2,peak_first_r,peak_remaining_ones,peak_gap_min,peak_gap_max,peak_inner_mode,peak_outer_log2_bound,peak_placement_log2,peak_inner_log2,peak_best_lambda,peak_best_alpha,peak_best_rho,peak_term_log2
1007,-378.98633560760607,1,1006,1,4000,cap,1353.5152615731408,-1732.5741430947237,0.0,nan,nan,nan,-379.05888152158286
1008,-379.3713807172946,1,1007,1,4000,cap,1354.8514711761497,-1734.295470519468,0.0,nan,nan,nan,-379.4439993433182
1009,-379.7564274033018,1,1008,1,4000,cap,1356.1876807791589,-1736.0167995219217,0.0,nan,nan,nan,-379.82911874276283
1010,-380.1414756721335,1,1009,1,4000,cap,1357.5238903821678,-1737.738130108497,0.0,nan,nan,nan,-380.2142397263292
1011,-380.5265255298977,1,1010,1,4000,cap,1358.860099985177,-1739.4594622854165,0.0,nan,nan,nan,-380.5993623002396
1012,-380.911576966053,1,1011,1,4000,cap,1360.1963095881858,-1741.1807960419646,0.0,nan,nan,nan,-380.9844864537788
1013,-381.29662998011247,1,1012,1,4000,cap,1361.532519191195,-1742.9021313777557,0.0,nan,nan,nan,-381.36961218656074
1014,-381.6816845764719,1,1013,1,4000,cap,1362.868728794204,-1744.6234682972936,0.0,nan,nan,nan,-381.7547395030897
1015,-382.0667407460436,1,1014,1,4000,cap,1364.204938397213,-1746.3448067912032,0.0,nan,nan,nan,-382.1398683939901
1016,-382.4517985046066,1,1015,1,4000,cap,1365.5411480002222,-1748.0661468755807,0.0,nan,nan,nan,-382.5249988753585
1017,-382.8368578511967,1,1016,1,4000,cap,1366.877357603231,-1749.787488549282,0.0,nan,nan,nan,-382.9101309460509
1018,-383.22191876653966,1,1017,1,4000,cap,1368.2135672062402,-1751.5088317930622,0.0,nan,nan,nan,-383.295264586822
1019,-383.6069812663609,1,1018,1,4000,cap,1369.5497768092491,-1753.23017662265,0.0,nan,nan,nan,-383.680399813401
1020,-383.9920453486475,1,1019,1,4000,cap,1370.8859864122583,-1754.951523036094,0.0,nan,nan,nan,-384.06553662383567
1021,-384.3771110071626,1,1020,1,4000,cap,1372.2221960152672,-1756.6728710270836,0.0,nan,nan,nan,-384.45067501181643
1022,-384.76217825489465,1,1021,1,4000,cap,1373.5584056182763,-1758.394220608645,0.0,nan,nan,nan,-384.8358149903686
1023,-385.1472470773384,1,1022,1,4000,cap,1374.8946152212852,-1760.115571766406,0.0,nan,nan,nan,-385.22095654512077
1024,-385.5323174922806,1,1023,1,4000,cap,1376.2308248242944,-1761.836924518053,0.0,nan,nan,nan,-385.60609969375855
1025,-385.91738947882277,1,1024,1,4000,cap,1377.5670344273035,-1763.55827884284,0.0,nan,nan,nan,-385.9912444155366
1026,-386.30246304376743,1,1025,1,4000,cap,1378.9032440303124,-1765.2796347475742,0.0,nan,nan,nan,-386.37639071726176
1027,-386.68753819815413,1,1026,1,4000,cap,1380.2394536333215,-1767.0009922435438,0.0,nan,nan,nan,-386.76153861022226
1028,-387.0726149235084,1,1027,1,4000,cap,1381.5756632363305,-1768.722351312539,0.0,nan,nan,nan,-387.14668807620865
1029,-387.4576932332802,1,1028,1,4000,cap,1382.9118728393396,-1770.4437119682734,0.0,nan,nan,nan,-387.5318391289338
1030,-387.8427731281705,1,1029,1,4000,cap,1384.2480824423485,-1772.165074212442,0.0,nan,nan,nan,-387.91699177009355
1031,-388.2278545869064,1,1030,1,4000,cap,1385.5842920453576,-1773.8864380243922,0.0,nan,nan,nan,-388.30214597903455
1032,-388.6129376329949,1,1031,1,4000,cap,1386.9205016483666,-1775.6078034295952,0.0,nan,nan,nan,-388.6873017812286
1033,-388.9980222533467,1,1032,1,4000,cap,1388.2567112513757,-1777.3291704176263,0.0,nan,nan,nan,-389.0724591662506
1034,-389.383108440381,1,1033,1,4000,cap,1389.5929208543848,-1779.0505389851915,0.0,nan,nan,nan,-389.4576181308066
1035,-389.76819618752404,1,1034,1,4000,cap,1390.9291304573937,-1780.7719091327253,0.0,nan,nan,nan,-389.8427786753316
1036,-390.15328549441415,1,1035,1,4000,cap,1392.2653400604029,-1782.4932808708854,0.0,nan,nan,nan,-390.22794081048255
1037,-390.5383763232363,1,1036,1,4000,cap,1393.6015496634118,-1784.2146541800666,0.0,nan,nan,nan,-390.61310451665486
1038,-390.9234686676861,1,1037,1,4000,cap,1394.937759266421,-1785.936029082739,0.0,nan,nan,nan,-390.99826981631804
