H,total_log2
257,-632.016288161653
258,-634.2526452230471
259,-636.489024983056
260,-638.725427293176
261,-640.9618519784399
262,-643.1982988731095
263,-645.434767829535
264,-647.6712586679196
265,-649.9077712497234
266,-652.1443054167378
267,-654.3808610054248
268,-656.617437872037
269,-658.8540358693893
270,-661.0906548397822
271,-663.3272946401958
272,-665.5639551352638
273,-667.8006361580229
274,-670.0373375889258
275,-672.2740592736421
276,-674.5108010752467
277,-676.747562867309
278,-678.9843445055056
279,-681.2211458422559
280,-683.4579667682455
281,-685.6948071357335
282,-687.9316668162468
283,-690.1685456776718
284,-692.4054436097381
285,-694.6423604635324
286,-696.879296125392
287,-699.1162504779523
288,-701.3532233827117
289,-703.590214721734
290,-705.8272243856229
291,-708.064252250768
292,-710.3012981942281
293,-712.5383621032518
294,-714.7754438633272
295,-717.012543356989
296,-719.2496604733931
297,-721.4867951071576
298,-723.7239471303499
299,-725.9611164504764
300,-728.1983029609995
301,-730.4355065348703
302,-732.6727270718072
303,-734.9099644864893
304,-737.1472186483725
305,-739.3844894666496
306,-741.621776840846
307,-743.8590806651857
308,-746.0964008329652
309,-748.3337372570599
310,-750.5710898367086
311,-752.8084584672961
312,-755.0458430501571
313,-757.2832435077593
314,-759.5206597290331
315,-761.7580916168328
316,-763.9955390977779
317,-766.2330020515009
318,-768.4704804118778
319,-770.707974080171
320,-772.945482956419
321,-775.183006970837
322,-777.4205460184883
323,-779.6581000229479
324,-781.8956688871253
325,-784.1332525408217
326,-786.3708508861946
327,-788.6084638453414
328,-790.8460913272784
329,-793.0837332594175
330,-795.3213895545643
331,-797.5590601316733
332,-799.7967449150988
333,-802.0344438177516
334,-804.2721567618705
335,-806.5098836729364
336,-808.747624468221
337,-810.9853790775875
338,-813.2231474213042
339,-815.4609294201192
340,-817.6987250107087
341,-819.9365341020175
342,-822.1743566337265
343,-824.4121925272323
344,-826.6500417118808
345,-828.8879041189576
346,-831.1257796649415
347,-833.3636682938842
348,-835.6015699284236
349,-837.839484501432
350,-840.0774119392911
351,-842.3153521828037
352,-844.5533051597362
353,-846.7912708003652
354,-849.0292490315325
355,-851.2672398029548
356,-853.5052430436706
357,-855.7432586883589
358,-857.9812866714244
359,-860.2193269157045
360,-862.457379385685
361,-864.6954440009805
362,-866.9335207003053
363,-869.1716094248375
364,-871.4097101177073
365,-873.6478227019963
366,-875.8859471393575
367,-878.1240833489071
368,-880.3622312927233
369,-882.6003908893792
370,-884.8385620940774
371,-887.0767448498116
372,-889.3149390868966
373,-891.553144765503
374,-893.7913618160852
375,-896.0295901872922
376,-898.2678298186559
377,-900.5060806616393
378,-902.7443426684575
379,-904.9826157647656
380,-907.2208999083535
381,-909.4591950457237
382,-911.697501122423
383,-913.9358180772517
384,-916.1741458740995
385,-918.4124844477939
386,-920.6508337574453
387,-922.8891937376757
388,-925.1275643519706
389,-927.3659455385449
390,-929.6043372637014
391,-931.8427394515792
392,-934.0811520751446
393,-936.3195750805727
394,-938.5580084083762
395,-940.7964520306554
396,-943.034905875502
397,-945.2733699126203
398,-947.5118440884877
399,-949.7503283636191
400,-951.9888226853454
401,-954.2273269982218
402,-956.4658412705534
403,-958.7043654510671
404,-960.942899495443
405,-963.1814433606128
406,-965.4199969990556
407,-967.6585603692239
408,-969.8971334190943
409,-972.1357161181005
410,-974.3743084191926
411,-976.6129102746513
412,-978.8515216411522
413,-981.0901424848313
414,-983.3287727487389
415,-985.5674124062823
416,-987.8060614071824
417,-990.0447197148012
418,-992.2833872897257
419,-994.5220640894851
420,-996.7607500682518
421,-998.9994451926949
422,-1001.238149414818
423,-1003.4768627093061
424,-1005.7155850195047
425,-1007.9543163162667
426,-1010.1930565654321
427,-1012.4318057221907
428,-1014.6705637469354
429,-1016.9093306050042
430,-1019.1481062556668
431,-1021.3868906626161
432,-1023.6256837937154
433,-1025.8644856046187
434,-1028.103296065395
435,-1030.3421151334055
436,-1032.5809427745555
437,-1034.819778952302
438,-1037.0586236327872
439,-1039.297476784596
440,-1041.5363383623985
441,-1043.7752083443352
442,-1046.0140866780396
443,-1048.2529733395222
444,-1050.4918683007027
445,-1052.7307715130542
446,-1054.969682950374
447,-1057.208602581692
448,-1059.4475303710474
449,-1061.6864662880212
450,-1063.9254102913894
451,-1066.1643623504197
452,-1068.403322439264
453,-1070.6422905152706
454,-1072.8812665563821
455,-1075.120250528684
456,-1077.3592423969544
457,-1079.5982421298272
458,-1081.8372496942186
459,-1084.0762650658742
460,-1086.3152882076781
461,-1088.5543190909482
462,-1090.7933576844916
463,-1093.0324039544212
464,-1095.2714578854448
465,-1097.5105194269488
466,-1099.749588562666
467,-1101.9886652513721
468,-1104.227749475075
469,-1106.466841201204
470,-1108.7059403985552
471,-1110.9450470371094
472,-1113.1841610932292
473,-1115.4232825333572
474,-1117.6624113299615
475,-1119.9015474559906
476,-1122.1406908846989
477,-1124.3798415841022
478,-1126.618999532926
479,-1128.858164693569
480,-1131.0973370495583
481,-1133.3365165623857
482,-1135.575703208961
483,-1137.8148969707074
484,-1140.0540978118981
485,-1142.2933057063658
486,-1144.5325206373486
487,-1146.7717425597073
488,-1149.0109714642645
489,-1151.250207323905
490,-1153.4894500934204
491,-1155.7286997684753
492,-1157.9679563209652
493,-1160.2072197096118
494,-1162.446489928188
495,-1164.6857669516216
496,-1166.9250507358515
497,-1169.1643412660517
498,-1171.4036385296142
499,-1173.6429424837606
