H,total_log2
200,-376.8004317465788
201,-378.39615665133823
202,-379.9919177309998
203,-381.58771463299144
204,-383.18354701873915
205,-384.7794145450351
206,-386.37531688043845
207,-387.97125369759436
208,-389.56722467102037
209,-391.16322947767486
210,-392.75926780568295
211,-394.35533934702306
212,-395.9514437956814
213,-397.5475808405147
214,-399.14375019313246
215,-400.73995155942646
216,-402.33618464880504
217,-403.93244917006547
218,-405.52874485421825
219,-407.1250714128883
220,-408.7214285693472
221,-410.31781606543194
222,-411.9142336282224
223,-413.51068099322254
224,-415.1071579007288
225,-416.7036641003307
226,-418.30019932860097
227,-419.89676334865413
228,-421.493355906464
229,-423.0899767597885
230,-424.68662566685333
231,-426.28330239658357
232,-427.88000671202195
233,-429.4767383833599
234,-431.07349718489763
235,-432.67028288399536
236,-434.26709526501077
237,-435.86393411028865
238,-437.46079919732284
239,-439.05769031477837
240,-440.6546072543721
241,-442.25154980548984
242,-443.8485177579102
243,-445.44551091262997
244,-447.0425290685502
245,-448.6395720280156
246,-450.2366395916454
247,-451.8337315666399
248,-453.4308477643783
249,-455.0279879926836
250,-456.62515206424456
251,-458.222339799703
252,-459.8195510065916
253,-461.4167855120538
254,-463.014043136476
255,-464.6113237047794
256,-466.20862704162005
257,-467.80595297468585
258,-469.40330132995933
259,-471.00067194314244
260,-472.598064649608
261,-474.1954792824493
262,-475.7929156813044
263,-477.39037367971173
264,-478.9878531274344
265,-480.58535386174765
266,-482.18287572712893
267,-483.7804185707909
268,-485.37798224361046
269,-486.9755665903416
270,-488.5731714667197
271,-490.17079672435204
272,-491.7684422171223
273,-493.36610780225254
274,-494.9637933360102
275,-496.56149867750196
276,-498.159223692489
277,-499.75696823841736
278,-501.3547321790259
279,-502.95251538285675
280,-504.5503177137233
281,-506.14813904269613
282,-507.7459792305526
283,-509.34383816130185
284,-510.9417156951149
285,-512.5396117126379
286,-514.1375260894587
287,-515.7354587001511
288,-517.3334094169627
289,-518.9313781246439
290,-520.5293647003634
291,-522.1273690285722
292,-523.7253909863276
293,-525.3234304635679
294,-526.9214873377175
295,-528.5195614993743
296,-530.117652832318
297,-531.7157612284809
298,-533.3138865760527
299,-534.9120287637303
300,-536.510187684976
301,-538.1083632261756
302,-539.7065552897367
303,-541.3047637661514
304,-542.9029885517493
305,-544.5012295449739
306,-546.0994866346018
307,-547.6977597282936
308,-549.2960487220315
309,-550.8943535206303
310,-552.4926740179542
311,-554.0910101228246
312,-555.6893617365754
313,-557.2877287628638
314,-558.8861111040575
315,-560.484508673757
316,-562.0829213717128
317,-563.6813491124893
318,-565.2797917950288
319,-566.878249336718
320,-568.476721648344
321,-570.075208633249
322,-571.6737102106815
323,-573.2722262934684
324,-574.870756792579
325,-576.4693016216944
326,-578.0678606964057
327,-579.6664339334358
328,-581.2650212498629
329,-582.8636225623505
330,-584.4622377863927
331,-586.0608668463153
332,-587.6595096584147
333,-589.2581661463472
334,-590.8568362242918
335,-592.4555198177293
336,-594.0542168493047
337,-595.6529272461954
338,-597.2516509206073
339,-598.8503878120993
340,-600.4491378331614
341,-602.0479009142382
342,-603.6466769788868
343,-605.2454659619382
344,-606.8442677873658
345,-608.4430823757049
346,-610.0419096649339
347,-611.6407495802924
348,-613.2396020578545
349,-614.8384670170556
350,-616.4373444004034
351,-618.036234129888
352,-619.635136144026
353,-621.2340503757797
354,-622.832976757366
355,-624.4319152196925
356,-626.0308656998566
357,-627.6298281379142
358,-629.2288024602065
359,-630.8277886110703
360,-632.4267865173686
361,-634.025796128277
362,-635.6248173771348
363,-637.2238501970576
364,-638.8228945258021
365,-640.4219503160095
366,-642.0210174970857
367,-643.6200960069561
368,-645.2191857862041
369,-646.8182867883354
370,-648.4173989443664
371,-650.0165221946052
372,-651.6156564854882
373,-653.2148017610652
374,-654.8139579625364
375,-656.4131250331792
376,-658.012302923272
377,-659.6114915681565
378,-661.2106909173598
379,-662.8099009180339
380,-664.4091215145339
381,-666.0083526533612
382,-667.6075942827509
383,-669.2068463441904
384,-670.8061087935063
385,-672.4053815709023
386,-674.0046646301128
387,-675.603957921885
388,-677.2032613882051
389,-678.8025749860989
390,-680.4018986603705
391,-682.0012323620339
392,-683.6005760425556
393,-685.199929653486
394,-686.7992931433986
395,-688.398666468271
396,-689.9980495803785
397,-691.5974424252428
398,-693.1968449627753
399,-694.7962571454303
400,-696.3956789205395
401,-697.9951102487796
402,-699.5945510850219
403,-701.1940013753028
404,-702.7934610833661
405,-704.3929301580824
406,-705.9924085599911
407,-707.5918962421712
408,-709.191393160661
409,-710.7908992714566
410,-712.3904145355716
411,-713.9899389052857
412,-715.5894723399622
413,-717.1890147949877
414,-718.7885662295369
415,-720.3881266035794
416,-721.9876958722111
417,-723.5872739961076
418,-725.1868609358556
419,-726.7864566516702
420,-728.3860610977265
421,-729.9856742406909
422,-731.5852960352554
423,-733.184926442669
424,-734.7845654277751
425,-736.3842129479887
426,-737.9838689664658
427,-739.5835334410802
428,-741.1832063376019
429,-742.7828876159926
430,-744.3825772382097
431,-745.9822751706337
432,-747.5819813730659
433,-749.1816958065356
434,-750.7814184411104
435,-752.3811492287786
436,-753.9808881461926
437,-755.5806351541228
438,-757.1803902079635
439,-758.7801532816728
440,-760.3799243379835
441,-761.9797033389117
442,-763.5794902562762
443,-765.1792850472783
444,-766.7790876811493
445,-768.3788981201111
446,-769.9787163406482
447,-771.5785422983553
448,-773.178375968019
449,-774.7782173030974
450,-776.3780662892411
451,-777.9779228822758
452,-779.5777870456122
453,-781.1776587580908
454,-782.7775379761583
455,-784.3774246793366
456,-785.9773188297169
457,-787.5772203932434
458,-789.1771293448966
459,-790.7770456469855
460,-792.3769692704548
461,-793.9769001866222
462,-795.5768383642983
463,-797.1767837722767
464,-798.7767363791496
465,-800.3766961584827
466,-801.9766630752
467,-803.5766371015147
468,-805.1766182140582
469,-806.776606374886
470,-808.3766015554814
471,-809.976603733887
472,-811.5766128784038
473,-813.1766289527872
474,-814.7766519375665
475,-816.3766818030043
476,-817.9767185196679
477,-819.5767620582566
478,-821.1768123921253
479,-822.776869491733
480,-824.3769333352333
481,-825.9770038894904
482,-827.5770811314162
483,-829.177165034373
484,-830.777255565316
485,-832.3773527034582
486,-833.9774564159121
487,-835.5775666870976
488,-837.1776834836537
489,-838.7778067784626
490,-840.3779365505028
491,-841.978072768567
492,-843.5782154126117
493,-845.178364452108
494,-846.7785198647047
495,-848.3786816253291
496,-849.9788497060453
497,-851.5790240893382
498,-853.1792047384153
499,-854.7793916400586
