file,n,cut,delta,q1,s,pairs,q_s,late_base,corr,beta_nat,beta_bits,pred_beta_nat,pred_beta_bits
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,5,10.0,0.00043042937770626527,0.0002650048985753979,1.62423177843183,0.04850349522651097,0.06997575202906889,0.04072597174606482,0.058755157473431754
enum_WC12_WC120.120.12.txt,120,14,0.11666666666666667,0.23327640978951109,6,15.0,8.032641519324357e-05,3.587658454915092e-05,2.2389649461530094,0.05373424543106184,0.07752212940930336,0.04072597174606482,0.058755157473431754
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,2,1.0,0.03302167202743221,0.031621047369078864,1.0442940628121942,0.043341119159419364,0.06252801767787196,0.05737787943364493,0.08277878211564439
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,3,3.0,0.005435394844502238,0.004731182795698925,1.148844819406155,0.046252310885940395,0.06672797954480082,0.05737787943364493,0.08277878211564439
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,4,6.0,0.0008318635281422444,0.0006175594278417665,1.347017777786056,0.04964884923342768,0.07162814857490993,0.05737787943364493,0.08277878211564439
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,5,10.0,0.00011785248415746554,6.886075215341749e-05,1.7114608898679688,0.053734732734983345,0.07752283244025432,0.05737787943364493,0.08277878211564439
enum_WC16_WC128.128.16.txt,128,12,0.09375,0.18749714078968063,6,15.0,1.5423342339215327e-05,6.384895264474404e-06,2.415598330176361,0.05879646747898357,0.08482537205371882,0.05737787943364493,0.08277878211564439
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,2,1.0,0.03902289528858652,0.03749531308586427,1.0407406173466023,0.03993259177160104,0.057610552118732256,0.05169447522702589,0.07457936305138763
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,3,3.0,0.0070624280306720464,0.006218125960061444,1.1357807924820904,0.04244011243819475,0.06122813974935359,0.05169447522702589,0.07457936305138763
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,4,6.0,0.0011992474017262446,0.0009136990365144265,1.3125190613105233,0.045324706380240214,0.06538972912452092,0.05169447522702589,0.07457936305138763
