H,total_log2
417,-871.4491138304836
418,-873.4033427334256
419,-875.3575806838436
420,-877.311827635913
421,-879.2660835616751
422,-881.2203484131355
423,-883.1746221542288
424,-885.1289047390508
425,-887.0831961330783
426,-889.0374963021524
427,-890.9918052014617
428,-892.9461227967763
429,-894.9004490480572
430,-896.854783914574
431,-898.809127370769
432,-900.7634793683837
433,-902.7178398738188
434,-904.672208841022
435,-906.6265862488507
436,-908.5809720578358
437,-910.5353662206867
438,-912.4897687142918
439,-914.4441795018646
440,-916.3985985380741
441,-918.3530258064351
442,-920.3074612492061
443,-922.2619048477735
444,-924.2163565579328
445,-926.1708163526542
446,-928.1252841949873
447,-930.0797600593368
448,-932.0342438989908
449,-933.9887356942801
450,-935.9432353986092
451,-937.8977429812398
452,-939.8522584163302
453,-941.806781666599
454,-943.7613127099889
455,-945.7158515072144
456,-947.6703980230515
457,-949.6249522261319
458,-951.5795140833735
459,-953.534083570524
460,-955.4886606612138
461,-957.443245310638
462,-959.3978374983537
463,-961.3524371850966
464,-963.3070443502035
465,-965.2616589591828
466,-967.2162809796436
467,-969.1709103918597
468,-971.1255471509658
469,-973.0801912297667
470,-975.0348426185559
471,-976.9895012658174
472,-978.9441671586604
473,-980.8988402581548
474,-982.853520536769
475,-984.8082079674513
476,-986.7629025234564
477,-988.7176041781723
478,-990.6723129049511
479,-992.6270286661928
480,-994.5817514454242
481,-996.5364812148847
482,-998.4912179407359
483,-1000.4459615990286
484,-1002.4007121647805
485,-1004.355469606453
486,-1006.3102339072835
487,-1008.265005032882
488,-1010.219782952573
489,-1012.1745676553643
490,-1014.1293591014222
491,-1016.0841572649138
492,-1018.0389621338571
493,-1019.9937736669768
494,-1021.9485918472925
495,-1023.9034166551088
496,-1025.8582480624877
497,-1027.813086033106
498,-1029.7679305543536
499,-1031.722781588829
