H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
128,-78398.74165634377,-153.0627201123859,-204.5187939702065,-257.581189557145,-311.66510496627416,-366.5076681629519,-421.95704018928916,-477.9138512531761,-534.3078796294328,-153.0627201123859
129,-78398.74165634377,-153.80299327117103,-205.2369825061835,-258.2771240745578,-312.338613706968,-367.1585769727621,-422.58517248538834,-478.5190279926819,-534.8899192795287,-153.80299327117103
130,-78398.74165634377,-154.5433516845872,-205.95542775539477,-258.97348933066405,-313.01272983031566,-367.8102724801336,-423.2142735181136,-479.1253582859026,-535.473300132923,-154.5433516845872
131,-78398.74165634377,-155.2837940532877,-206.6741258050715,-259.6702787413861,-313.6874440215502,-368.46274257872125,-423.84432832710644,-479.7328242544994,-536.058001327758,-155.2837940532877
132,-78398.74165634377,-156.02431910646243,-207.39307283027688,-260.36748587150555,-314.36274717757516,-369.11597543849183,-424.47532229486166,-480.34140843145684,-536.6440024839833,-156.02431910646243
133,-78398.74165634377,-156.76492560244972,-208.11226509275264,-261.06510443166246,-315.0386304020501,-369.7699594988322,-425.1072411377756,-480.95109375002386,-537.2312836900835,-156.76492560244972
134,-78398.74165634377,-157.50561232759597,-208.8316989380461,-261.76312827371993,-315.715084998911,-370.4246834601674,-425.74007089579425,-481.5618635313094,-537.8198254885748,-157.50561232759597
135,-78398.74165634377,-158.24637809463627,-209.55137079225273,-262.46155138577944,-316.3921024656332,-371.08013627538355,-426.3737979219384,-482.1737014718482,-538.4096088615262,-158.24637809463627
136,-78398.74165634377,-158.98722174192963,-210.2712771596532,-263.1603678881838,-317.0696744875118,-371.7363071423605,-427.00840887300734,-482.7865916324096,-539.0006152174197,-158.98722174192963
137,-78398.74165634377,-159.72814213485168,-210.99141462257649,-263.85957203179015,-317.74779293430237,-372.39318549889776,-427.6438907027598,-483.4005184293585,-539.592826380629,-159.72814213485168
138,-78398.74165634377,-160.46913816125436,-211.7117798353821,-264.559158190424,-318.42644985109035,-373.0507610119571,-428.2802306494482,-484.01546662045286,-540.186224575398,-160.46913816125436
139,-78398.74165634377,-161.21020873573906,-212.43236952731505,-265.2591208622601,-319.10563745814994,-373.7090235759395,-428.9174162324771,-484.63142129979974,-540.7807924190676,-161.21020873573906
140,-78398.74165634377,-161.95135279123332,-213.153180492701,-265.9594546586029,-319.7853481382552,-374.3679632984817,-429.5554352366197,-485.24836788045894,-541.3765129029849,-161.95135279123332
141,-78398.74165634377,-162.6925692900769,-213.87420960070884,-266.6601543122741,-320.4655744436554,-375.02757050596506,-430.19427571601796,-485.86629209687055,-541.973369393325,-162.6925692900769
142,-78398.74165634377,-163.4338572089114,-214.59545377896973,-267.36121465990965,-321.14630907700035,-375.6878357230337,-430.83392597224224,-486.48517998140755,-542.5713456060773,-163.4338572089114
143,-78398.74165634377,-164.17521555110264,-215.31691002475736,-268.06263065187244,-321.8275448999364,-376.3487496798234,-431.4743745601136,-487.1050178687474,-543.1704256099188,-164.17521555110264
144,-78398.74165634377,-164.916643340982,-216.03857539804275,-268.76439734406875,-322.50927492365776,-377.0103033011987,-432.1156102755799,-487.72579238234727,-543.7705938112389,-164.916643340982
145,-78398.74165634377,-165.6581396173485,-216.76044701384987,-269.4665098891203,-323.1914922988446,-377.6724876954302,-432.7576221430844,-488.3474904204542,-544.3718349387547,-165.6581396173485
146,-78398.74165634377,-166.39970344503416,-217.48252205270495,-270.1689635456701,-323.8741903237873,-378.3352941610887,-433.40039942120075,-488.970099160435,-544.9741340464911,-166.39970344503416
147,-78398.74165634377,-167.1413339041938,-218.20479774885467,-270.8717536654881,-324.55736243035113,-378.9987141718316,-434.0439315861934,-489.5936060410862,-545.57747649479,-167.1413339041938
148,-78398.74165634377,-167.8830300935777,-218.92727139250812,-271.5748756946425,-325.24100218403765,-379.6627393753268,-434.6882083297686,-490.21799875916196,-546.1818479455857,-167.8830300935777
149,-78398.74165634377,-168.62479113433596,-219.649940332634,-272.27832517526764,-325.92510328468757,-380.3273615928485,-435.3332195575353,-490.84326526666024,-546.7872343584792,-168.62479113433596
150,-78398.74165634377,-169.36661615821583,-220.37280196418914,-272.98209773178905,-326.60965955167893,-380.9925728034125,-435.9789553720362,-491.4693937527264,-547.3936219714712,-169.36661615821583
151,-78398.74165634377,-170.10850431774645,-221.09585373737048,-273.6861890792107,-327.2946649312098,-381.65836515003446,-436.62540607794466,-492.0963726477532,-548.0009973039354,-170.10850431774645
152,-78398.74165634377,-170.8504547848123,-221.8190931552833,-274.3905950198496,-327.9801134920713,-382.3247309345053,-437.272562175822,-492.72419061607513,-548.6093471482146,-170.8504547848123
153,-78398.74165634377,-171.59246674297253,-222.5425177653801,-275.0953114338743,-328.6659994152575,-382.9916626060385,-437.92041434976585,-493.3528365425992,-549.218658555203,-171.59246674297253
154,-78398.74165634377,-172.3345393923195,-223.26612516347575,-275.8003342824405,-329.35231699620067,-383.6591527625771,-438.5689534677599,-493.982299532165,-549.8289188326888,-172.3345393923195
155,-78398.74165634377,-173.0766719520844,-223.98991299553197,-276.5056596086329,-330.0390606448368,-384.3271941499615,-439.2181705799168,-494.6125689068329,-550.4401155416539,-173.0766719520844
156,-78398.74165634377,-173.81886365022848,-224.71387894645122,-277.21128352543974,-330.7262248727378,-384.9957796481912,-439.86805690384574,-495.243634190327,-551.0522364797583,-173.81886365022848
157,-78398.74165634377,-174.5611137349328,-225.43802075080407,-277.91720222568586,-331.4138043022286,-385.66490227970104,-440.518603832055,-495.875485114544,-551.6652696869379,-174.5611137349328
158,-78398.74165634377,-175.303421466329,-226.162336183811,-278.6234119722524,-332.10179365581376,-386.33455519797127,-441.16980291972783,-496.5081116064602,-552.2792034314182,-175.303421466329
159,-78398.74165634377,-176.04578611936302,-226.88682306348485,-279.32990909947233,-332.790187756814,-387.00473168737443,-441.8216458837533,-497.14150378632985,-552.8940262070449,-176.04578611936302
160,-78398.74165634377,-176.78820698164597,-227.61147924778555,-280.03669000956563,-333.47898152505405,-387.67542515810584,-442.47412459686876,-497.77565196101693,-553.5097267257854,-176.78820698164597
161,-78398.74165634377,-177.5306833530121,-228.3363026335007,-280.7437511708255,-334.16816997433165,-388.3466291429068,-443.1272310836288,-498.41054661917514,-554.1262939120995,-177.5306833530121
162,-78398.74165634377,-178.2732145467616,-229.0612911568308,-281.45108911752646,-334.85774821163113,-389.01833729556375,-443.7809575181612,-499.0461784282507,-554.7437168991586,-178.2732145467616
163,-78398.74165634377,-179.01579989124085,-229.78644279433294,-282.1587004502137,-335.54771143673963,-389.6905433898308,-444.43529622237446,-499.6825382319504,-555.3619850255604,-179.01579989124085
164,-78398.74165634377,-179.75843872503052,-230.5117555574957,-282.8665818296412,-336.23805493553056,-390.3632413120414,-445.09023965787827,-500.3196170414501,-555.9810878257991,-179.75843872503052
165,-78398.74165634377,-180.5011303951309,-231.23722749032402,-283.57472997374373,-336.92877407630203,-391.036425056792,-445.74578042099796,-500.9574060297178,-556.6010150238803,-180.5011303951309
166,-78398.74165634377,-181.24387427023984,-231.96285668203774,-284.2831416697377,-337.6198643212653,-391.7100887378001,-446.40191125297923,-501.5958965410496,-557.2217565421681,-181.24387427023984
167,-78398.74165634377,-181.98666971938457,-232.68864124514087,-284.9918137516115,-338.3113212034373,-392.384226564186,-447.05862501563996,-502.2350800660729,-557.8433024757203,-181.98666971938457
168,-78398.74165634377,-182.72951612980967,-233.4145793327651,-285.70074311690735,-339.00314034284537,-393.05883285608184,-447.7159147063694,-502.874948256116,-558.4656431060109,-182.72951612980967
169,-78398.74165634377,-183.47241289558633,-234.140669126748,-286.40992671425624,-339.69531743350325,-393.7339020310284,-448.3737734439314,-503.5154929084031,-559.0887688854966,-183.47241289558633
170,-78398.74165634377,-184.21535942395636,-234.86690884346118,-287.119361548675,-340.3878482481649,-394.40942860817205,-449.0321944720859,-504.1567059690829,-559.7126704400395,-184.21535942395636
171,-78398.74165634377,-184.95835512850113,-235.59329672648278,-287.82904467372606,-341.08072862995334,-395.08540719935206,-449.691171150118,-504.79857952318343,-560.337338558271,-184.95835512850113
172,-78398.74165634377,-185.7013994427218,-236.3198310596926,-288.5389732041163,-341.77395450444726,-395.76183252066,-450.35069696385614,-505.4411058050747,-560.962764201481,-185.7013994427218
173,-78398.74165634377,-186.44449179893206,-237.0465101456929,-289.2491442936328,-342.4675218571224,-396.438699369368,-451.0107655020742,-506.0842771743309,-561.5889384789259,-186.44449179893206
174,-78398.74165634377,-187.18763164232385,-237.77333231941932,-289.95955514828125,-343.1614267460065,-397.1160026360902,-451.67137046814264,-506.72808612685554,-562.2158526584152,-187.18763164232385
175,-78398.74165634377,-187.93081843317643,-238.50029594990286,-290.6702030275963,-343.8556653025183,-397.7937373051375,-452.33250567989154,-507.3725252942344,-562.8434981651408,-187.93081843317643
