power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2,m_gamma,m_peak_h,m_peak_log2,m_total_log2,m0_gamma,m0_peak_h,m0_peak_log2,m0_total_log2,b_opt_log2,b_ctr_log2,b_pess_log2
14,16384,18,4,0.12,32786.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4483.932277957388,-13735.758694512037,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-2.7308095626737288,-inf,-0.0719699153822666,0.24,5.0,-2.0810194352625278,1.1459165589907232,0.04268188040000001,4.0,-2.5639978765294353,-0.24273814108433367,0.048,4.0,-2.609992242666338,-0.3398054547917039,-0.0719699153822666,-0.24273814108433367,1.1459165589907232
14,16384,19,5,0.12,32787.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.069483245111,-13736.17790137614,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-6.047905359772141,-17.94271435387245,-4.7827854574895925,0.24,5.0,-2.8263892638068278,0.10224805351516156,0.04268188040000001,4.0,-3.3548699579790693,-1.0812167382847093,0.048,4.0,-3.4008643253404696,-1.1733442360160913,-4.7827854574895925,-1.0812167382847093,0.10224805351516156
14,16384,20,6,0.12,32788.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.2066254131505,-13736.597108240245,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-9.75225796891154,-35.41493509707861,-8.151161521151401,0.24,5.0,-3.562461002054561,-0.8007161862890702,0.04268188040000001,4.0,-4.148024690661074,-1.87916644420172,0.048,4.0,-4.194019059246897,-1.9702125316409513,-8.151161521151401,-1.87916644420172,-0.8007161862890702
14,16384,21,7,0.12,32789.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.343767583951,-13737.016315104349,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,22.0,3.0,-11.493449263174154,-44.86407391943729,-10.483710734831957,0.24,5.0,-4.299880443263402,-1.61970716310243,0.04268188040000001,5.0,-4.912182415932091,-2.6540386877264184,0.048,5.0,-4.988813272959471,-2.7464273859659705,-10.483710734831957,-2.6540386877264184,-1.61970716310243
14,16384,22,8,0.12,32790.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-4484.480909757514,-13737.435521968453,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,20.0,3.0,-13.471416932103965,-inf,-12.699930537360775,0.24,6.0,-5.0431301305603,-2.3883013624597567,0.04268188040000001,5.0,-5.655771007227505,-3.4161165204272064,0.048,5.0,-5.732401867099407,-3.5113712191292965,-12.699930537360775,-3.4161165204272064,-2.3883013624597567
16,65536,20,4,0.12,131092.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.035892605545,-54944.309777162984,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,6.0,-2.8509680618552107,-inf,0.08291225533620253,0.24,5.0,-1.5049699055798662,2.243495098932652,0.04268188040000001,5.0,-2.119871661073814,0.3427537983176629,0.048,4.0,-2.174725451558431,0.22605226946180623,0.08291225533620253,0.3427537983176629,2.243495098932652
16,65536,21,5,0.12,131093.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.173097893265,-54944.72898402709,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.92418463748937,-inf,-5.063219184380435,0.24,5.0,-2.2720480190508727,1.0181186735114278,0.04268188040000001,5.0,-2.886949781162274,-0.5273780514757072,0.048,5.0,-2.9636506476915034,-0.63532257278087,-5.063219184380435,-0.5273780514757072,1.0181186735114278
16,65536,22,6,0.12,131094.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.310287394248,-54945.14819089119,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-9.355146717221032,-inf,-8.156326147432791,0.24,6.0,-3.0080922906646066,0.0009184424725421853,0.04268188040000001,5.0,-3.644968122843297,-1.3450613184182243,0.048,5.0,-3.7216689895508246,-1.4496530367046494,-8.156326147432791,-1.3450613184182243,0.0009184424725421853
16,65536,23,7,0.12,131095.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.447476895402,-54945.567397755294,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736712457913164,-inf,-11.081164386602213,0.24,6.0,-3.7206101372789497,-0.8881433883302152,0.04268188040000001,5.0,-4.403610084622755,-2.132537298167858,0.048,5.0,-4.480310951508577,-2.237175176389196,-11.081164386602213,-2.132537298167858,-0.8881433883302152
16,65536,24,8,0.12,131096.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-17970.584682183126,-54945.9866046194,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,19.0,3.0,-14.145921488252798,-inf,-13.12021645591489,0.24,6.0,-4.432288764757405,-1.6994987701889877,0.04268188040000001,5.0,-5.16729870261429,-2.9030452400673195,0.048,5.0,-5.243999569678404,-3.0098500465898264,-13.12021645591489,-2.9030452400673195,-1.6994987701889877
