bucket,H,T_count,max_log2_minus_left,T_at_max,left_log2,max_log2,left_reproduction_delta
gap_1_4000,32,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,32,4000,-1.23671384245e-09,9949,-82.8934630214,-82.8934630226,-1.23671384245e-09
gap_8001_12000,32,4000,-3.37750805102e-09,13949,-98.4950099448,-98.4950099481,-3.37750805102e-09
gap_1_4000,33,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,33,4000,-1.35052857786e-09,9949,-83.6018140299,-83.6018140312,-1.35052857786e-09
gap_8001_12000,33,4000,-3.45576722793e-09,13949,-99.6909200158,-99.6909200193,-3.45576722793e-09
gap_1_4000,34,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,34,4000,-7.75031594458e-10,9949,-84.3114135811,-84.3114135819,-7.75031594458e-10
gap_8001_12000,34,4000,-3.64971697309e-09,13949,-100.888079279,-100.888079282,-3.64971697309e-09
gap_1_4000,35,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,35,4000,-5.26227950104e-11,9949,-85.0221913176,-85.0221913177,-5.26227950104e-11
gap_8001_12000,35,4000,-4.51437642823e-09,13949,-102.086417376,-102.08641738,-4.51437642823e-09
gap_1_4000,36,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,36,4000,1.00800434666e-09,9949,-85.7340826668,-85.7340826658,1.00800434666e-09
gap_8001_12000,36,4000,-5.05835373588e-10,13949,-103.28586974,-103.28586974,-5.05835373588e-10
gap_1_4000,37,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,37,4000,-7.46837258703e-10,9949,-86.4470282197,-86.4470282205,-7.46837258703e-10
gap_8001_12000,37,4000,-2.83846190996e-09,13949,-104.486376954,-104.486376957,-2.83846190996e-09
gap_1_4000,38,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,38,4000,-1.80705228559e-10,9949,-87.1609732058,-87.160973206,-1.80705228559e-10
gap_8001_12000,38,4000,-3.61360719126e-09,13949,-105.68788425,-105.687884254,-3.61360719126e-09
gap_1_4000,39,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,39,4000,-2.0108359422e-10,9949,-87.8758670075,-87.8758670077,-2.0108359422e-10
gap_8001_12000,39,4000,-3.18672732647e-09,13949,-106.890341013,-106.890341017,-3.18672732647e-09
gap_1_4000,40,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,40,4000,7.9336359704e-10,9949,-88.5916627617,-88.5916627609,7.9336359704e-10
gap_8001_12000,40,4000,-2.52312304383e-09,13949,-108.093700378,-108.093700381,-2.52312304383e-09
gap_1_4000,41,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,41,4000,-5.3589133131e-10,9949,-89.3083169889,-89.3083169895,-5.3589133131e-10
gap_8001_12000,41,4000,2.96850544146e-10,13949,-109.297918871,-109.29791887,2.96850544146e-10
gap_1_4000,42,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,42,4000,9.8197006082e-12,9949,-90.0257892865,-90.0257892865,9.8197006082e-12
gap_8001_12000,42,4000,-2.48208209541e-09,13949,-110.502956076,-110.502956078,-2.48208209541e-09
gap_1_4000,43,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,43,4000,1.74679826159e-10,9949,-90.7440420323,-90.7440420321,1.74679826159e-10
gap_8001_12000,43,4000,-2.4974298185e-09,13949,-111.708774382,-111.708774384,-2.4974298185e-09
gap_1_4000,44,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,44,4000,-1.54540202857e-09,9949,-91.4630401419,-91.4630401435,-1.54540202857e-09
gap_8001_12000,44,4000,-2.55244003711e-09,13949,-112.915338703,-112.915338706,-2.55244003711e-09
gap_1_4000,45,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,45,4000,-9.44822886595e-10,9949,-92.1827508497,-92.1827508507,-9.44822886595e-10
gap_8001_12000,45,4000,-2.43400677391e-09,13949,-114.122616271,-114.122616273,-2.43400677391e-09
gap_1_4000,46,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,46,4000,-6.10555161984e-10,9949,-92.9031434981,-92.9031434987,-6.10555161984e-10
gap_8001_12000,46,4000,-2.12658335386e-09,13949,-115.330576429,-115.330576431,-2.12658335386e-09
gap_1_4000,47,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,47,4000,-2.30426167036e-09,9949,-93.6241893663,-93.6241893686,-2.30426167036e-09
gap_8001_12000,47,4000,-6.07414563092e-10,13949,-116.53919046,-116.539190461,-6.07414563092e-10
gap_1_4000,48,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,48,4000,-7.13271219865e-10,9949,-94.3458615174,-94.3458615181,-7.13271219865e-10
gap_8001_12000,48,4000,-3.42106432072e-09,13949,-117.748431416,-117.74843142,-3.42106432072e-09
gap_1_4000,49,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,49,4000,-2.59616683707e-09,9949,-95.0681346358,-95.0681346384,-2.59616683707e-09
gap_8001_12000,49,4000,-1.12774500849e-09,13949,-118.958273998,-118.958273999,-1.12774500849e-09
gap_1_4000,50,4000,-3.5527136788e-15,5949,-20.0117348926,-20.0117348926,-3.5527136788e-15
gap_4001_8000,50,4000,-6.31530383544e-11,9949,-95.7909849235,-95.7909849235,-6.31530383544e-11
gap_8001_12000,50,4000,-3.30845750796e-09,13949,-120.16869439,-120.168694394,-3.30845750796e-09
gap_1_4000,51,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,51,4000,-2.03377226171e-09,9949,-96.5143899529,-96.514389955,-2.03377226171e-09
gap_8001_12000,51,4000,-2.76646971997e-09,13949,-121.379670181,-121.379670184,-2.76646971997e-09
gap_1_4000,52,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,52,4000,-7.94955212768e-10,9949,-97.2383285945,-97.2383285953,-7.94955212768e-10
gap_8001_12000,52,4000,1.15107923193e-10,13949,-122.591180233,-122.591180233,1.15107923193e-10
gap_1_4000,53,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,53,4000,4.47300863016e-10,9949,-97.9627808928,-97.9627808924,4.47300863016e-10
gap_8001_12000,53,4000,-1.91124627236e-09,13949,-123.803204587,-123.803204589,-1.91124627236e-09
gap_1_4000,54,4000,0,5949,-20.0117348926,-20.0117348926,0
