band0_weight,band1_weight,pair_count,denominator
9,32,80716539321479,84637463800014895770
9,33,26905526058039,28212487933338298590
9,34,7913407206956,8297790568628911350
9,35,2034870122717,2133717574790291490
9,36,452195535122,474159461064509220
9,37,85549698882,89705843985177420
9,38,13507333466,14164080629238540
9,39,1731814218,1815907772979300
9,40,173297926,181590777297930
9,41,12653852,13287130046190
9,42,603638,632720478390
9,43,13461,14714429730
10,0,43541,47086175136
10,1,1935519,2024705530848
10,2,40559231,42518816147808
10,3,554315942,581090487353376
10,4,5541958139,5810904873533760
10,5,43225558763,45325058013563328
10,6,273762402876,287058700752567744
10,7,1447018499141,1517310275406429504
10,8,6511589923750,6827896239328932768
10,9,25322849773743,26552929819612516320
10,10,86097650119320,90279961386682555488
10,11,258293092612667,270839884160047666464
10,12,688781569683448,722239691093460443904
10,13,1642478766970280,1722263878761328750848
10,14,3519597326027568,3690565454488561608960
10,15,6804554957942076,7135093212011219110656
10,16,11907971491681574,12486413121019633443648
10,17,18912661009916930,19831362015737064881088
10,18,27318287589897690,28645300689397982606016
10,19,35945114555552028,37691185117628924481600
10,20,43134138124475614,45229422141154709377920
10,21,47242152606556518,49536986154598015032960
10,22,47242152143955480,49536986154598015032960
10,23,43134137272418502,45229422141154709377920
10,24,35945114310896000,37691185117628924481600
10,25,27318287435618266,28645300689397982606016
10,26,18912660833072012,19831362015737064881088
10,27,11907971978997094,12486413121019633443648
10,28,6804555206294256,7135093212011219110656
10,29,3519597339209360,3690565454488561608960
10,30,1642478894901200,1722263878761328750848
10,31,688781442346988,722239691093460443904
10,32,258293004194253,270839884160047666464
10,33,86097681161263,90279961386682555488
10,34,25322832540223,26552929819612516320
10,35,6511584948278,6827896239328932768
10,36,1447024288447,1517310275406429504
10,37,273760703479,287058700752567744
10,38,43224552492,45325058013563328
10,39,5542014029,5810904873533760
10,40,554224978,581090487353376
10,41,40529447,42518816147808
10,42,1933252,2024705530848
10,43,45031,47086175136
11,0,125841,132697402656
11,1,5431923,5705988314208
11,2,114264891,119825754598368
11,3,1561725446,1637618646177696
11,4,15617683287,16376186461776960
11,5,121817234771,127734254401860288
11,6,771503582904,808983611211781824
11,7,4077959112561,4276056230690846784
11,8,18350876351262,19242253038108810528
11,9,71364390998039,74830984037089818720
11,10,242638984806016,254425345726105383648
11,11,727916593627691,763276037178316150944
11,12,1941111304656392,2035402765808843069184
11,13,4628804292177928,4853652749236471934208
11,14,9918865212967968,10400684462649582716160
11,15,19176473568867884,20107989961122526584576
11,16,33558828818879966,35188982431964421523008
11,17,53299316506636618,55888383862531728301248
11,18,76987901789468274,80727665579212496435136
11,19,101299868852070060,106220612604226968993600
11,20,121559844543443046,127464735125072362792320
11,21,133136973510483190,139604233708412587820160
11,22,133136972087438272,139604233708412587820160
11,23,121559843035211726,127464735125072362792320
11,24,101299868526338832,106220612604226968993600
11,25,76987902420630570,80727665579212496435136
11,26,53299317536623324,55888383862531728301248
11,27,33558828367074806,35188982431964421523008
11,28,19176473360240704,20107989961122526584576
11,29,9918865409441968,10400684462649582716160
11,30,4628803989264832,4853652749236471934208
11,31,1941111445945180,2035402765808843069184
11,32,727916802963001,763276037178316150944
11,33,242638917166835,254425345726105383648
11,34,71364331176843,74830984037089818720
11,35,18350858432198,19242253038108810528
11,36,4077964849275,4276056230690846784
11,37,771504670079,808983611211781824
11,38,121817649448,127734254401860288
11,39,15618307513,16376186461776960
11,40,1561457578,1637618646177696
11,41,114296975,119825754598368
11,42,5439468,5705988314208
11,43,127463,132697402656
12,0,321639,331743506640
12,1,13604251,14264970785520
12,2,285694761,299564386495920
12,3,3904611282,4094046615444240
12,4,39043485604,40940466154442400
12,5,304541507432,319335636004650720
12,6,1928765210128,2022459028029454560
12,7,10194928534532,10690140576727116960
12,8,45877071986382,48105632595272026320
12,9,178410870644571,187077460092724546800
12,10,606597404530027,636063364315263459120
12,11,1819791994388619,1908190092945790377360
12,12,4852778095322220,5088506914522107672960
12,13,11572009787354144,12134131873091179835520
12,14,24797164268197552,26001711156623956790400
12,15,47941184513261268,50269974902806316461440
12,16,83897072522445578,87972456079911053807520
12,17,133248290138114190,139720959656329320753120
12,18,192469752472864658,201819163948031241087840
12,19,253249674999268128,265551531510567422484000
12,20,303899610796378700,318661837812680906980800
12,21,332842430950749632,349010584271031469550400
12,22,332842428783537312,349010584271031469550400
12,23,303899609442579700,318661837812680906980800
12,24,253249676778026624,265551531510567422484000
12,25,192469754986454070,201819163948031241087840
12,26,133248291405272286,139720959656329320753120
12,27,83897070328055938,87972456079911053807520
12,28,47941182844935508,50269974902806316461440
12,29,24797164760727680,26001711156623956790400
12,30,11572010002617328,12134131873091179835520
12,31,4852778153925580,5088506914522107672960
12,32,1819791940703207,1908190092945790377360
12,33,606597358842871,636063364315263459120
12,34,178411033663125,187077460092724546800
