band0_weight,band1_weight,count
12,7,117844399786
12,8,530299902311
12,9,2062277837669
12,10,7011742971164
12,11,21035224016579
12,12,56093945864268
12,13,133762490796060
12,14,286633871889908
12,15,554158844647932
12,16,969778006726038
12,17,1540235597343474
12,18,2224784766336478
12,19,2927348430172418
12,20,3512818070137620
12,21,3847372167357724
12,22,3847372199422998
12,23,3512818048994480
12,24,2927348377026714
12,25,2224784810947078
12,26,1540235630472948
12,27,969777985102354
12,28,554158842733316
12,29,286633872544308
12,30,133762477655172
12,31,56093948706628
12,32,21035232283857
12,33,7011740097903
12,34,2062276709737
12,35,530301522095
12,36,117844055344
12,37,22294760580
12,38,3520294613
12,39,451309670
12,40,45119007
12,41,3303061
12,42,157448
12,43,3739
13,0,8783
13,1,375657
13,2,7874113
13,3,107631972
13,4,1076213303
13,5,8394415193
13,6,53164848904
13,7,281013368405
13,8,1264559729875
13,9,4917737600893
13,10,16720307248762
13,11,50160932826378
13,12,133762488735484
13,13,318972051061268
13,14,683511570632296
13,15,1321455753479416
13,16,2312547513655146
13,17,3672869535106526
13,18,5305255993472106
13,19,6980599991533024
13,20,8376720025255178
13,21,9174502887364342
13,22,9174502875598720
13,23,8376720064036178
13,24,6980600049263186
13,25,5305256020246294
13,26,3672869575075764
13,27,2312547477721860
13,28,1321455677558620
13,29,683511575543092
13,30,318972076017128
13,31,133762481096288
13,32,50160924688647
13,33,16720310983929
13,34,4917743144045
13,35,1264561302908
13,36,281013172839
13,37,53164839017
13,38,8394424360
13,39,1076190721
13,40,107616795
13,41,7876653
13,42,374714
13,43,8754
14,0,18728
14,1,803014
14,2,16880961
14,3,230590009
14,4,2306127171
14,5,17988201004
14,6,113923942167
14,7,602171788797
14,8,2709774731738
14,9,10538010734187
14,10,35829238288165
14,11,107487717479533
14,12,286633879979944
14,13,683511554408760
14,14,1464667663333932
14,15,2831690790202180
14,16,4955458932355520
14,17,7870434846503300
14,18,11368405712896398
14,19,14958428498966574
14,20,17950114406572878
14,21,19659649125891768
14,22,19659648978554330
14,23,17950114355433006
14,24,14958428690655516
14,25,11368405713304046
14,26,7870434701388646
14,27,4955458912553670
14,28,2831690829437728
14,29,1464667686247800
14,30,683511577792428
14,31,286633874360996
14,32,107487703341720
14,33,35829242847182
14,34,10538009782641
14,35,2709770526425
14,36,602172879527
14,37,113924523628
14,38,17988060471
14,39,2306189549
14,40,230623626
14,41,16873359
14,42,803125
14,43,18573
15,0,36445
15,1,1552482
15,2,32620363
15,3,445830659
15,4,4458663430
15,5,34776956407
15,6,220253438148
15,7,1164199875636
15,8,5238901954997
15,9,20373488533105
15,10,69269852465417
15,11,207809566990585
15,12,554158837328004
15,13,1321455709065676
15,14,2831690827069892
15,15,5474602231975124
15,16,9580553906080550
15,17,15216173815901248
15,18,21978917641169458
15,19,28919628739128722
15,20,34703554760389424
15,21,38008654836553874
15,22,38008654515065132
15,23,34703554363361484
15,24,28919628834156814
15,25,21978917739318630
15,26,15216173686437494
15,27,9580553974856214
15,28,5474602362803900
15,29,2831690790144284
15,30,1321455677269324
15,31,554158855152988
15,32,207809576388749
15,33,69269850190022
15,34,20373480648419
15,35,5238897256811
15,36,1164199228554
15,37,220253761423
15,38,34777030912
15,39,4458601424
15,40,445865517
15,41,32622017
15,42,1553953
15,43,36081
16,0,63085
16,1,2719645
16,2,57077859
16,3,780259527
16,4,7802537320
16,5,60859736270
16,6,385445112266
16,7,2037348485261
16,8,9168068649321
16,9,35653600099517
16,10,121222241957475
16,11,363666731442518
16,12,969777989319346
16,13,2312547515513424
16,14,4955458933571064
16,15,9580553995582934
16,16,16765969288568850
16,17,26628303951991098
16,18,38463106182867816
16,19,50609350629613958
16,20,60731220213974778
16,21,66515145457554212
16,22,66515145885508464
16,23,60731220526162104
16,24,50609350186158282
16,25,38463105996853050
16,26,26628304301217500
16,27,16765969433063684
16,28,9580553859833894
16,29,4955458854403312
16,30,2312547501649936
16,31,969777991853738
16,32,363666746263073
16,33,121222246976825
16,34,35653603562549
16,35,9168071846427
16,36,2037348065222
16,37,385444614990
16,38,60859468670
16,39,7802490043
16,40,780268077
16,41,57087865
16,42,2718721
16,43,63166
17,0,99829
17,1,4319577
17,2,90677285
17,3,1239222451
17,4,12392120325
17,5,96659505755
17,6,612176727271
17,7,3235788485830
17,8,14561042600575
17,9,56626305692259
17,10,192529462133467
17,11,577588348149300
17,12,1540235624019206
17,13,3672869612135914
